mturk_id;exp_condition;time
A193YDFH1CD4JX;TRAIN-SIM-HD;2013-07-12 20:32:25
A1926T0R2ZEXOF;CONTROL-XAB-HD;2013-07-12 20:32:09
A2JEDA0R8SFWAL;CONTROL-SIM-LD;2013-06-06 23:53:46
AY9V0REQ1LRL4;TRAIN-SIM-HD;2013-06-06 22:11:35
A27TPKZZ723Z24;TRAIN-SIM-HD;2013-06-06 21:29:33
A20ZY0QRJGQLW9;CONTROL-SIM-LD;2013-06-06 21:27:41
A20ZY0QRJGQLW9;CONTROL-XAB-LD;2013-06-06 21:27:11
A1H19F8SD9YFG3;TRAIN-XAB-HD;2013-06-06 20:03:25
A3V6VQ1VJ3G8KE;TRAIN-SIM-HD;2013-06-06 19:55:23
A1VT8UI9CULCJF;CONTROL-XAB-LD;2013-06-06 19:55:16
AU2C0Q45DVGJO;CONTROL-XAB-LD;2013-06-06 19:35:24
AXTXSH6HVG0H0;CONTROL-XAB-LD;2013-06-06 19:32:47
AB32VAORO0RD0;TRAIN-SIM-LD;2013-06-06 19:32:23
A1G9AB2CWQMLS6;TRAIN-SIM-HD;2013-06-06 19:31:15
A1ZJ2FQTML0ZO8;TRAIN-XAB-LD;2013-06-06 19:29:03
AA9SCJ5HQZYT2;TRAIN-SIM-HD;2013-06-06 19:28:15
A1JFNK12MI773K;TRAIN-SIM-HD;2013-06-06 19:28:03
A2PYM8RT72JOE8;TRAIN-XAB-LD;2013-06-06 19:27:18
ATFGMWXTU004O;CONTROL-XAB-LD;2013-06-06 19:26:10
A1I3GKMTLYW75S;CONTROL-XAB-LD;2013-06-06 19:24:04
A1I3GKMTLYW75S;CONTROL-XAB-LD;2013-06-06 19:23:49
A2V1IB3LHMWL25;TRAIN-XAB-LD;2013-06-06 19:23:37
A1R8A1ZKR80MRA;TRAIN-XAB-HD;2013-06-06 19:23:35
AJVHIAAVCY4HI;TRAIN-SIM-LD;2013-06-06 19:23:27
A3RHVKIHNIOZ8F;CONTROL-SIM-HD;2013-06-06 19:20:22
A3V0D7BRUQEYO2;CONTROL-XAB-LD;2013-06-06 19:19:41
A1EPKYRRR8OMKY;TRAIN-XAB-HD;2013-06-06 19:19:00
A2WX9BYW5TI8OA;CONTROL-SIM-HD;2013-06-06 19:17:49
A2P0T88FJMZXUM;TRAIN-XAB-LD;2013-06-06 19:17:03
A3PUXAZKNQ57NR;TRAIN-SIM-HD;2013-06-06 18:32:52
A2ETKEXXYV4WBF;CONTROL-SIM-HD;2013-06-06 18:27:55
A2IGLJGPDP2EWF;CONTROL-XAB-HD;2013-06-06 18:25:42
A1BXEU20OCUGVZ;CONTROL-SIM-LD;2013-06-06 18:19:00
A20TG9ULQG16J2;TRAIN-SIM-HD;2013-06-06 18:13:07
A18T7E73TNGOKP;CONTROL-SIM-LD;2013-06-06 17:57:28
A2VM135NT6CLH;TRAIN-XAB-LD;2013-06-06 17:34:17
A3CO5374TFUFEK;CONTROL-SIM-HD;2013-06-06 17:32:42
A23WWL0GY0UR6N;TRAIN-SIM-LD;2013-06-06 17:29:17
A386PZHLP17890;TRAIN-XAB-HD;2013-06-06 17:25:53
A3IKEV2XRSMJV5;TRAIN-XAB-HD;2013-06-06 17:22:14
