"","mturk_id","train_type","stim_type","xdist","block","V1"
"212","A1F8MOWCCVDIH2","CONTROL","HD",2,3,-0.333333333333333
"217","A1H6QHX1XSZ3F1","TRAIN","HD",0,0,-0.25
"218","A1H6QHX1XSZ3F1","TRAIN","HD",0,1,-0.25
"219","A1H6QHX1XSZ3F1","TRAIN","HD",0,2,0.2
"220","A1H6QHX1XSZ3F1","TRAIN","HD",0,3,-0.25
"221","A1H6QHX1XSZ3F1","TRAIN","HD",1,0,-0.116666666666667
"222","A1H6QHX1XSZ3F1","TRAIN","HD",1,1,0.375
"223","A1H6QHX1XSZ3F1","TRAIN","HD",1,2,-0.107142857142857
"224","A1H6QHX1XSZ3F1","TRAIN","HD",1,3,-0.0416666666666668
"225","A1H6QHX1XSZ3F1","TRAIN","HD",2,0,-0.2
"226","A1H6QHX1XSZ3F1","TRAIN","HD",2,1,-0.25
"227","A1H6QHX1XSZ3F1","TRAIN","HD",2,2,-0.333333333333333
"228","A1H6QHX1XSZ3F1","TRAIN","HD",2,3,0.15
"232","A1HI470DAXFXA5","CONTROL","HD",0,0,0.0416666666666667
"233","A1HI470DAXFXA5","CONTROL","HD",0,1,-0.0333333333333334
"234","A1HI470DAXFXA5","CONTROL","HD",0,2,-0.275
"235","A1HI470DAXFXA5","CONTROL","HD",0,3,0
"236","A1HI470DAXFXA5","CONTROL","HD",1,0,-0.0416666666666668
"237","A1HI470DAXFXA5","CONTROL","HD",1,1,-0.2
"238","A1HI470DAXFXA5","CONTROL","HD",1,2,-0.178571428571429
"239","A1HI470DAXFXA5","CONTROL","HD",1,3,-0.138888888888889
"240","A1HI470DAXFXA5","CONTROL","HD",2,0,0.25
"241","A1HI470DAXFXA5","CONTROL","HD",2,1,3.14018491736755e-16
"242","A1HI470DAXFXA5","CONTROL","HD",2,2,3.14018491736755e-16
"243","A1HI470DAXFXA5","CONTROL","HD",2,3,0.333333333333333
"247","A1HUUSCZ4I5SOP","TRAIN","LD",0,0,0.333333333333333
"248","A1HUUSCZ4I5SOP","TRAIN","LD",0,1,-0.4
"249","A1HUUSCZ4I5SOP","TRAIN","LD",0,2,0.0416666666666666
"250","A1HUUSCZ4I5SOP","TRAIN","LD",0,3,0.166666666666667
"251","A1HUUSCZ4I5SOP","TRAIN","LD",1,0,-0.0833333333333335
"252","A1HUUSCZ4I5SOP","TRAIN","LD",1,1,0.0714285714285713
"253","A1HUUSCZ4I5SOP","TRAIN","LD",1,2,0.125
"254","A1HUUSCZ4I5SOP","TRAIN","LD",1,3,0.0833333333333332
"255","A1HUUSCZ4I5SOP","TRAIN","LD",2,0,0.2
"256","A1HUUSCZ4I5SOP","TRAIN","LD",2,1,3.14018491736755e-16
"257","A1HUUSCZ4I5SOP","TRAIN","LD",2,2,3.14018491736755e-16
"258","A1HUUSCZ4I5SOP","TRAIN","LD",2,3,3.14018491736755e-16
"262","A1I3GKMTLYW75S","CONTROL","LD",0,0,0.0499999999999999
"263","A1I3GKMTLYW75S","CONTROL","LD",0,1,-0.333333333333334
"264","A1I3GKMTLYW75S","CONTROL","LD",0,2,-0.4
"265","A1I3GKMTLYW75S","CONTROL","LD",0,3,0.125
"266","A1I3GKMTLYW75S","CONTROL","LD",1,0,0.0833333333333333
"267","A1I3GKMTLYW75S","CONTROL","LD",1,1,-0.263888888888889
"268","A1I3GKMTLYW75S","CONTROL","LD",1,2,0.142857142857143
"269","A1I3GKMTLYW75S","CONTROL","LD",1,3,-1.17756934401283e-16
"270","A1I3GKMTLYW75S","CONTROL","LD",2,0,-1
"271","A1I3GKMTLYW75S","CONTROL","LD",2,1,NA
"272","A1I3GKMTLYW75S","CONTROL","LD",2,2,0.657142857142857
"273","A1I3GKMTLYW75S","CONTROL","LD",2,3,-1
"276","A1JCFCPGEYT1L4","TRAIN","HD",0,0,0.142857142857143
"277","A1JCFCPGEYT1L4","TRAIN","HD",0,1,0.5
"278","A1JCFCPGEYT1L4","TRAIN","HD",0,2,-0.0499999999999999
"279","A1JCFCPGEYT1L4","TRAIN","HD",0,3,0.208333333333333
"280","A1JCFCPGEYT1L4","TRAIN","HD",1,0,0.133333333333333
"281","A1JCFCPGEYT1L4","TRAIN","HD",1,1,-0.1875
"282","A1JCFCPGEYT1L4","TRAIN","HD",1,2,0.0892857142857142
"283","A1JCFCPGEYT1L4","TRAIN","HD",1,3,0.0222222222222221
"284","A1JCFCPGEYT1L4","TRAIN","HD",2,0,0.107142857142857
"285","A1JCFCPGEYT1L4","TRAIN","HD",2,1,3.14018491736755e-16
"286","A1JCFCPGEYT1L4","TRAIN","HD",2,2,-0.0499999999999999
"287","A1JCFCPGEYT1L4","TRAIN","HD",2,3,-0.3
"292","A1LOUTL89EK5NW","TRAIN","LD",0,0,-0.0833333333333334
"293","A1LOUTL89EK5NW","TRAIN","LD",0,1,-0.15
"294","A1LOUTL89EK5NW","TRAIN","LD",0,2,0.166666666666667
"295","A1LOUTL89EK5NW","TRAIN","LD",0,3,0
"296","A1LOUTL89EK5NW","TRAIN","LD",1,0,0.166666666666667
"297","A1LOUTL89EK5NW","TRAIN","LD",1,1,0.285714285714286
"298","A1LOUTL89EK5NW","TRAIN","LD",1,2,-0.0833333333333335
"299","A1LOUTL89EK5NW","TRAIN","LD",1,3,0.166666666666667
"300","A1LOUTL89EK5NW","TRAIN","LD",2,0,3.14018491736755e-16
"301","A1LOUTL89EK5NW","TRAIN","LD",2,1,-0.25
"302","A1LOUTL89EK5NW","TRAIN","LD",2,2,-0.0833333333333333
"303","A1LOUTL89EK5NW","TRAIN","LD",2,3,0.333333333333333
"308","A1MZC8D6JFJQMB","TRAIN","HD",0,0,-0.5
"309","A1MZC8D6JFJQMB","TRAIN","HD",0,1,-0.0250000000000002
"310","A1MZC8D6JFJQMB","TRAIN","HD",0,2,0.333333333333333
"311","A1MZC8D6JFJQMB","TRAIN","HD",0,3,0.333333333333333
"312","A1MZC8D6JFJQMB","TRAIN","HD",1,0,0.116666666666667
"313","A1MZC8D6JFJQMB","TRAIN","HD",1,1,-0.0952380952380954
"314","A1MZC8D6JFJQMB","TRAIN","HD",1,2,-0.0222222222222224
"315","A1MZC8D6JFJQMB","TRAIN","HD",1,3,-0.0555555555555557
"316","A1MZC8D6JFJQMB","TRAIN","HD",2,0,-0.3
"317","A1MZC8D6JFJQMB","TRAIN","HD",2,1,0.5
"318","A1MZC8D6JFJQMB","TRAIN","HD",2,2,-0.0666666666666667
"319","A1MZC8D6JFJQMB","TRAIN","HD",2,3,-0.666666666666667
"324","A1PNOIIYIW9NYA","TRAIN","LD",0,0,0.3
"325","A1PNOIIYIW9NYA","TRAIN","LD",0,1,-0.166666666666667
"326","A1PNOIIYIW9NYA","TRAIN","LD",0,2,-0.166666666666667
"327","A1PNOIIYIW9NYA","TRAIN","LD",0,3,-0.375
